customer_id,order_status,order_date,required_date,shipped_date,store_id,staff_id
259,4,2016-01-01,2016-01-03,2016-01-03,1,2
1212,4,2016-01-01,2016-01-04,2016-01-03,2,6
523,4,2016-01-02,2016-01-05,2016-01-03,2,7
175,4,2016-01-03,2016-01-04,2016-01-05,1,3
1324,4,2016-01-03,2016-01-06,2016-01-06,2,6
94,4,2016-01-04,2016-01-07,2016-01-05,2,6
324,4,2016-01-04,2016-01-07,2016-01-05,2,6
1204,4,2016-01-04,2016-01-05,2016-01-05,2,7
60,4,2016-01-05,2016-01-08,2016-01-08,1,2
442,4,2016-01-05,2016-01-06,2016-01-06,2,6
1326,4,2016-01-05,2016-01-08,2016-01-07,2,7
91,4,2016-01-06,2016-01-08,2016-01-09,1,2
873,4,2016-01-08,2016-01-11,2016-01-11,2,6
258,4,2016-01-09,2016-01-11,2016-01-12,1,3
450,4,2016-01-09,2016-01-10,2016-01-12,2,7
552,4,2016-01-12,2016-01-15,2016-01-15,1,3
1175,4,2016-01-12,2016-01-14,2016-01-14,1,3
541,4,2016-01-14,2016-01-17,2016-01-15,1,3
696,4,2016-01-14,2016-01-17,2016-01-16,1,2
923,4,2016-01-14,2016-01-16,2016-01-17,1,2
1250,4,2016-01-15,2016-01-16,2016-01-18,2,6
1035,4,2016-01-16,2016-01-18,2016-01-17,1,2
1149,4,2016-01-16,2016-01-19,2016-01-19,1,2
636,4,2016-01-18,2016-01-20,2016-01-19,2,7
657,4,2016-01-18,2016-01-21,2016-01-21,2,6
1280,4,2016-01-18,2016-01-21,2016-01-19,2,7
57,4,2016-01-19,2016-01-21,2016-01-20,2,7
252,4,2016-01-19,2016-01-20,2016-01-21,2,6
437,4,2016-01-20,2016-01-22,2016-01-21,2,6
1348,4,2016-01-20,2016-01-21,2016-01-21,2,6
1238,4,2016-01-20,2016-01-22,2016-01-22,3,8
1259,4,2016-01-21,2016-01-24,2016-01-22,1,3
236,4,2016-01-21,2016-01-22,2016-01-22,2,6
80,4,2016-01-22,2016-01-25,2016-01-23,2,6
813,4,2016-01-22,2016-01-25,2016-01-24,2,7
1321,4,2016-01-23,2016-01-24,2016-01-24,2,6
164,4,2016-01-25,2016-01-28,2016-01-26,2,6
583,4,2016-01-25,2016-01-27,2016-01-26,2,7
1296,4,2016-01-25,2016-01-26,2016-01-26,2,7
348,4,2016-01-27,2016-01-28,2016-01-29,1,3
979,4,2016-01-27,2016-01-30,2016-01-29,2,6
1095,4,2016-01-27,2016-01-28,2016-01-30,2,7
1434,4,2016-01-27,2016-01-28,2016-01-30,2,7
861,4,2016-01-28,2016-01-31,2016-01-30,2,7
1220,4,2016-01-28,2016-01-31,2016-01-31,2,7
746,4,2016-01-29,2016-01-31,2016-01-31,2,7
1234,4,2016-01-29,2016-01-30,2016-01-31,2,7
1012,4,2016-01-30,2016-02-01,2016-02-02,2,7
608,4,2016-01-31,2016-02-01,2016-02-02,2,6
872,4,2016-01-31,2016-02-03,2016-02-02,3,8
1047,4,2016-02-01,2016-02-02,2016-02-03,2,7
767,4,2016-02-03,2016-02-04,2016-02-05,1,2
965,4,2016-02-03,2016-02-04,2016-02-05,2,6
535,4,2016-02-04,2016-02-07,2016-02-07,2,7
1173,4,2016-02-04,2016-02-07,2016-02-06,2,6
1241,4,2016-02-04,2016-02-06,2016-02-07,2,6
1305,4,2016-02-04,2016-02-06,2016-02-06,2,7
504,4,2016-02-05,2016-02-07,2016-02-07,2,6
563,4,2016-02-05,2016-02-07,2016-02-06,2,7
151,4,2016-02-06,2016-02-08,2016-02-07,1,3
277,4,2016-02-06,2016-02-09,2016-02-09,2,7
208,4,2016-02-07,2016-02-10,2016-02-10,1,2
